"Cipher","Block Size (bits)","Key Size (bits)","Implementation Version","Implementation Info","Implementation Authors"
"PRIDE","64","128","04"," Implementation with no extra function call, using key schedule"," Adnan Baysal"
"PRIDE","64","128","05"," Reference C implementation, no key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","06"," Reference C implementation with key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","07"," Implementation with no extra function call, no key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","08"," Implementation with no extra function call, using key schedule"," Adnan Baysal, Daniel Dinu"
"PRINCE","64","128","01"," reference implementation"," Daniel Dinu"
"PRINCE","64","128","02"," use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","03"," use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","04"," use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","05"," partially unrolled reference implementation"," Daniel Dinu"
"PRINCE","64","128","06"," partially unrolled reference implementation; use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","07"," partially unrolled reference implementation; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","08"," partially unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","09"," fully unrolled reference implementation"," Daniel Dinu"
"PRINCE","64","128","10"," fully unrolled reference implementation; use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","11"," fully unrolled reference implementation; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","12"," fully unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","13"," reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","14"," use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","15"," use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","16"," use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","17"," partially unrolled reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","18"," partially unrolled reference implementation; use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","19"," partially unrolled reference implementation; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","20"," partially unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","21"," fully unrolled reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","22"," fully unrolled reference implementation; use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","23"," fully unrolled reference implementation; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","24"," fully unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"RC5-20","64","128","01"," reference implementation"," Daniel Dinu"
"RC5-20","64","128","02"," reference implementation; magic constants S table is precomputed"," Daniel Dinu"
"RC5-20","64","128","03"," reference implementation; magic constants S table is precomputed and stored in RAM"," Daniel Dinu"
"RC5-20","64","128","04"," fully unrolled reference implementation"," Daniel Dinu"
"RC5-20","64","128","05"," fully unrolled reference implementation; magic constants S table is precomputed"," Daniel Dinu"
"RC5-20","64","128","06"," fully unrolled reference implementation; magic constants S table is precomputed and stored in RAM"," Daniel Dinu"
"RC5-20","64","128","07"," reference implementation; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","08"," reference implementation; magic constants S table is precomputed; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","09"," reference implementation; magic constants S table is precomputed and stored in RAM; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","10"," fully unrolled reference implementation; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","11"," fully unrolled reference implementation; magic constants S table is precomputed; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","12"," fully unrolled reference implementation; magic constants S table is precomputed and stored in RAM; different implementation for rotations"," Daniel Dinu"
"RECTANGLE","64","128","01"," Reference C implementation with key schedule"," Adnan Baysal"
"RECTANGLE","64","128","02"," Assembler implementation for AVR, MSP and ARM."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","128","03"," Optimized C implementation is used on ARM."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","128","04"," Optimized C implementation for all platformss."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","128","05"," Optimization for RAM on AVR."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","128","06"," Optimized the assembler implementation."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","128","07"," Optimize the assembler implementation a little"," Luo Peng"
"RECTANGLE","64","128","08"," unroll five rounds for MSP and ARM"," Luo Peng"
"RECTANGLE","64","128","09"," fully unrolled for MSP and ARM"," Luo Peng"
"RECTANGLE","64","80","01"," Reference C implementation with key schedule"," Adnan Baysal"
"RECTANGLE","64","80","02"," Assembler implementation for AVR, MSP and ARM."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","80","03"," Optimized C implementation is used on ARM."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","80","04"," Optimized C implementation for all platforms."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","80","05"," Optimization for RAM on AVR."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","80","06"," Optimized the assembler implementation."," Bao Zhenzhen, Luo Peng, Zhang Wentao"
"RECTANGLE","64","80","07"," Optimize the assembler implementation a little"," Luo Peng"
"RECTANGLE","64","80","08"," unroll five rounds for MSP and ARM"," Luo Peng"
"RECTANGLE","64","80","09"," fully unrolled for MSP and ARM"," Luo Peng"
"RoadRunneR","64","128","01"," Reference C implementation, no key schedule"," Adnan Baysal"
"RoadRunneR","64","128","02"," Reference C implementation with key schedule"," Adnan Baysal"
"RoadRunneR","64","128","03"," Implementation with no extra function call, no key schedule"," Adnan Baysal"
"RoadRunneR","64","128","04"," Implementation with no extra function call, using key schedule"," Adnan Baysal"
"RoadRunneR","64","128","05"," Implementation with single common function call in Encrypt/Decrypt, no key schedule"," Adnan Baysal"
"RoadRunneR","64","128","06"," Implementation with single common function call in Encrypt/Decrypt, using key schedule"," Adnan Baysal"
"RoadRunneR","64","80","01"," Reference C implementation, no key schedule"," Adnan Baysal"
"RoadRunneR","64","80","02"," Reference C implementation with key schedule"," Adnan Baysal"
"Robin","128","128","01"," reference implementation"," Johann Großschädl"
"Robin","128","128","02"," reference implementation; store L-Boxes in RAM"," Johann Großschädl"
"RobinStar","128","128","01"," reference implementation"," Johann Großschädl, Daniel Dinu"
"RobinStar","128","128","02"," reference implementation; store L-Boxes in RAM"," Johann Großschädl, Daniel Dinu"
"RobinStar","128","128","03"," reference implementation; improve constant generation"," Johann Großschädl, Daniel Dinu"
"RobinStar","128","128","04"," reference implementation; store L-Boxes in RAM; improve constant generation"," Johann Großschädl, Daniel Dinu"
"Simon","64","128","01"," Single round per loop iteration"," Bryan Weeks, Jason Smith, Yann Le Corre"
"Simon","64","128","02"," Two rounds per loop iteration"," Bryan Weeks, Jason Smith, Yann Le Corre"
"Simon","64","128","03"," Four rounds per loop iteration"," Bryan Weeks, Jason Smith, Yann Le Corre"
"Simon","64","128","04"," Single round per loop iteration in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","128","05"," Two rounds per loop iteration in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","128","06"," Four rounds per loop iteration in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","96","01"," optimized reference implementation"," Yann Le Corre"
"Simon","64","96","02"," optimized reference implementation, use only rotations by 1 and 8"," Yann Le Corre"
"Simon","64","96","03"," optimized reference implementation, use only rotations by 1 and 8. No unrolling"," Yann Le Corre"
"Simon","64","96","04"," Single round per loop iteration"," Bryan Weeks, Jason Smith, Yann Le Corre"
"Simon","64","96","05"," Two rounds per loop iteration"," Bryan Weeks, Jason Smith, Yann Le Corre"
"Simon","64","96","06"," Six rounds per loop iteration"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","96","07"," Single round per loop iteration in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","96","08"," Two rounds per loop iteration in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"Simon","64","96","09"," Six rounds unrolled in assembly for MSP and AVR"," Jason Smith, Bryan Weeks, Yann Le Corre"
"SKINNY","128","128","01"," Skinny 128-128",""
"SKINNY","128","128","02"," Cipher implementation example"," "
"SKINNY","128","128","03"," Cipher implementation example"," "
"SKINNY","64","128","01"," Skinny 64-128",""
"SKINNY","64","128","02"," Cipher implementation example"," "
"SPARX","128","128","01"," SPARX reference implementation"," Daniel Dinu"
"SPARX","128","128","02"," SPARX reference implementation; use optimized rotations"," Daniel Dinu"
"SPARX","128","128","03"," SPARX reference implementation; use optimized rotations; ASM with macros"," Daniel Dinu"
"SPARX","128","128","04"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time"," Daniel Dinu"
"SPARX","128","128","05"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; fully unrolled (AVR and MSP; ARM - offset out of range error) (except for KS)"," Daniel Dinu"
"SPARX","128","128","06"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3;"," Daniel Dinu"
"SPARX","128","128","07"," SPARX reference implementation; use optimized rotations; ASM with macros; lighter L for AVR"," Daniel Dinu"
"SPARX","128","128","08"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; lighter L for AVR"," Daniel Dinu"
"SPARX","128","128","09"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; fully unrolled (AVR and MSP; ARM - offset out of range error) (except for KS); lighter L for AVR"," Daniel Dinu"
"SPARX","128","128","10"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; lighter L for AVR"," Daniel Dinu"
"SPARX","128","128","11"," SPARX reference implementation; use optimized rotations; ASM with macros; lighter L for AVR; partially unrolled KS"," Daniel Dinu"
"SPARX","128","128","12"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; lighter L for AVR; partially unrolled KS"," Daniel Dinu"
"SPARX","128","128","13"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; fully unrolled (AVR and MSP; ARM - offset out of range error) (except for KS); lighter L for AVR; partially unrolled KS"," Daniel Dinu"
"SPARX","128","128","14"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; lighter L for AVR; partially unrolled KS"," Daniel Dinu"
"SPARX","128","128","15"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; lighter L for AVR; partially unrolled KS; roll A in A_3"," Daniel Dinu"
"SPARX","128","128","16"," SPARX reference implementation; use optimized rotations; ASM with macros; lighter L for AVR; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","128","128","17"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; lighter L for AVR; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","128","128","18"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; lighter L for AVR; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","128","128","19"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; lighter L for AVR; use 16-bit branches on ARM"," Daniel Dinu"
"SPARX","128","128","20"," SPARX reference implementation; use optimized rotations; ASM with macros; lighter L for AVR; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","128","128","21"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; lighter L for AVR; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","128","128","22"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; lighter L for AVR; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","128","128","23"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; lighter L for AVR; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","128","128","24"," SPARX reference implementation; use optimized rotations; ASM with macros; lighter L for AVR; use 16-bit branches on ARM; try to optimize ADD_ROUND_KEY (better) and ENC_ADD_WHITENING_KEY (the same)"," Daniel Dinu"
"SPARX","64","128","01"," SPARX reference implementation"," Daniel Dinu"
"SPARX","64","128","02"," SPARX reference implementation; use optimized rotations"," Daniel Dinu"
"SPARX","64","128","03"," SPARX reference implementation; use optimized rotations; roll Speckey in round function"," Daniel Dinu"
"SPARX","64","128","04"," SPARX reference implementation; use optimized rotations; unroll 2 rounds per loop"," Daniel Dinu"
"SPARX","64","128","05"," SPARX reference implementation; use optimized rotations; roll Speckey in round function; unroll 2 rounds per loop"," Daniel Dinu"
"SPARX","64","128","06"," SPARX reference implementation; use optimized rotations; unroll all loops"," Daniel Dinu"
"SPARX","64","128","07"," SPARX reference implementation; use optimized rotations; unroll all loops; process 2 rounds at a time"," Daniel Dinu"
"SPARX","64","128","08"," SPARX reference implementation; use optimized rotations; use only 16-bit operations"," Daniel Dinu"
"SPARX","64","128","09"," SPARX reference implementation; use optimized rotations; use only 16-bit operations with just 1 pointer"," Daniel Dinu"
"SPARX","64","128","10"," SPARX reference implementation; use optimized rotations; use only 16-bit operations with just 1 pointer; use a register for key schedule"," Daniel Dinu"
"SPARX","64","128","11"," SPARX reference implementation; use optimized rotations; ASM"," Daniel Dinu"
"SPARX","64","128","12"," SPARX reference implementation; use optimized rotations; ASM with macros"," Daniel Dinu"
"SPARX","64","128","13"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time"," Daniel Dinu"
"SPARX","64","128","14"," SPARX reference implementation; use optimized rotations; ASM with macros; fully unrolled (except for KS)"," Daniel Dinu"
"SPARX","64","128","15"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3"," Daniel Dinu"
"SPARX","64","128","16"," SPARX reference implementation; use optimized rotations; ASM with macros; limit the number of registers used"," Daniel Dinu"
"SPARX","64","128","17"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; limit the number of registers used"," Daniel Dinu"
"SPARX","64","128","18"," SPARX reference implementation; use optimized rotations; ASM with macros; fully unrolled (except for KS); limit the number of registers used"," Daniel Dinu"
"SPARX","64","128","19"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; limit the number of registers used"," Daniel Dinu"
"SPARX","64","128","20"," SPARX reference implementation; use optimized rotations; ASM with macros; limit the number of registers used; partially unrolled KS"," Daniel Dinu"
"SPARX","64","128","21"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; limit the number of registers used; partially unrolled KS"," Daniel Dinu"
"SPARX","64","128","22"," SPARX reference implementation; use optimized rotations; ASM with macros; fully unrolled (except for KS); limit the number of registers used; partially unrolled KS"," Daniel Dinu"
"SPARX","64","128","23"," SPARX reference implementation; use optimized rotations; ASM with macros; roll A in A_3; limit the number of registers used; partially unrolled KS"," Daniel Dinu"
"SPARX","64","128","24"," SPARX reference implementation; use optimized rotations; ASM with macros; 2 rounds at a time; roll A in A_3; limit the number of registers used"," Daniel Dinu"
